==== Model Run Details ====
Dataset: ieeeppg
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 5
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 41: TrainLoss=323.3389, TestLoss=640.6371, Test RMSE=27.4393
Epoch 42: TrainLoss=380.2941, TestLoss=556.8827, Test RMSE=24.5546
Epoch 43: TrainLoss=332.5659, TestLoss=486.1117, Test RMSE=21.8078
Epoch 44: TrainLoss=268.7240, TestLoss=485.3374, Test RMSE=22.4772
Epoch 45: TrainLoss=270.6438, TestLoss=542.5485, Test RMSE=23.1246
Epoch 46: TrainLoss=254.0675, TestLoss=604.5992, Test RMSE=24.1302
Epoch 47: TrainLoss=270.4543, TestLoss=546.2202, Test RMSE=23.8889
Epoch 48: TrainLoss=271.0370, TestLoss=506.5815, Test RMSE=21.8085
Epoch 49: TrainLoss=293.1726, TestLoss=484.8542, Test RMSE=23.3947
Epoch 50: TrainLoss=378.7882, TestLoss=635.3637, Test RMSE=26.7440
Trial 3/3: FinalEpochScore=26.7440, BestEpochScore=21.6233

==== FINAL SUMMARY ====
Test RMSE over 3 trials (final epoch): Mean=25.7488, Std=1.0329
Test RMSE over 3 trials (best epoch): Mean=21.4348, Std=0.8282
