==== Model Run Details ====
Dataset: newstitlesentiment
Model type: adadiag
Block sizes: [8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
Block config: 3
Activation: relu
Coupling topology: 5
Block init fn: diagonal
Coupling block init fn: uniform
Train batch size: 1024
Test batch size: 1024
Epochs: 50
Decay epochs: [20, 40]
Decay scalar: 0.1
Gating: True
Gate bounds: [1e-05, 0.2]
Euler step: 0.01
Learning rate: 0.001
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 6: TrainLoss=0.0218, TestLoss=0.0201, Test RMSE=0.1443
Epoch 7: TrainLoss=0.0199, TestLoss=0.0208, Test RMSE=0.1469
Epoch 8: TrainLoss=0.0219, TestLoss=0.0209, Test RMSE=0.1472
Epoch 9: TrainLoss=0.0252, TestLoss=0.0199, Test RMSE=0.1432
Epoch 10: TrainLoss=0.0493, TestLoss=0.0892, Test RMSE=0.3119
Epoch 11: TrainLoss=0.5405, TestLoss=0.0246, Test RMSE=0.1604
Epoch 12: TrainLoss=0.0295, TestLoss=0.0196, Test RMSE=0.1421
Epoch 13: TrainLoss=0.0194, TestLoss=0.0196, Test RMSE=0.1425
Epoch 14: TrainLoss=0.0194, TestLoss=0.0193, Test RMSE=0.1412
Epoch 15: TrainLoss=0.0189, TestLoss=0.0193, Test RMSE=0.1410
Epoch 16: TrainLoss=0.0191, TestLoss=0.0194, Test RMSE=0.1415
Epoch 17: TrainLoss=0.0188, TestLoss=0.0192, Test RMSE=0.1406
Epoch 18: TrainLoss=0.0187, TestLoss=0.0192, Test RMSE=0.1406
Epoch 19: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 20: TrainLoss=0.0188, TestLoss=0.0191, Test RMSE=0.1405
Epoch 21: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 22: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 23: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 24: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 25: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 26: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 27: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 28: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 29: TrainLoss=0.0185, TestLoss=0.0191, Test RMSE=0.1405
Epoch 30: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 31: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 32: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 33: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 34: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 35: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 36: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 37: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 38: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 39: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1404
Epoch 40: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 41: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 42: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 43: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 44: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1405
Epoch 45: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 46: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1404
Epoch 47: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1405
Epoch 48: TrainLoss=0.0186, TestLoss=0.0191, Test RMSE=0.1404
Epoch 49: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1404
Epoch 50: TrainLoss=0.0187, TestLoss=0.0191, Test RMSE=0.1404
Trial 3/3: FinalEpochScore=0.1404, BestEpochScore=0.1404

==== FINAL SUMMARY ====
Test RMSE over 3 trials (final epoch): Mean=0.1410, Std=0.0004
Test RMSE over 3 trials (best epoch): Mean=0.1407, Std=0.0002
