==== Model Run Details ====
Dataset: ieeeppg
Model type: scn
Block sizes: [32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
Block config: 2
Activation: relu
Coupling topology: 5
Block init fn: sparse
Coupling block init fn: uniform
Train batch size: 128
Test batch size: 128
Epochs: 50
Decay epochs: [80, 160]
Decay scalar: 0.1
Gating: False
Gate bounds: [1e-05, 0.2]
Euler step: 0.1
Learning rate: 0.01
Trials: 3
==========================


--- Trial 1/3 ---
Epoch 6: TrainLoss=4138.0674, TestLoss=4449.7424, Test RMSE=69.5502
Epoch 7: TrainLoss=3889.1350, TestLoss=4197.1263, Test RMSE=68.8592
Epoch 8: TrainLoss=1102116358.5448, TestLoss=11108.4535, Test RMSE=111.8852
Epoch 9: TrainLoss=328013344.1435, TestLoss=37561.7852, Test RMSE=193.3975
Epoch 10: TrainLoss=58116.0576, TestLoss=24772.2422, Test RMSE=158.6467
Epoch 11: TrainLoss=30803.7514, TestLoss=14774.8363, Test RMSE=125.7525
Epoch 12: TrainLoss=19153.5526, TestLoss=11842.6162, Test RMSE=114.5250
Epoch 13: TrainLoss=15191.5975, TestLoss=10913.3421, Test RMSE=110.7794
Epoch 14: TrainLoss=13399.6753, TestLoss=10317.6895, Test RMSE=108.3243
Epoch 15: TrainLoss=12339.7765, TestLoss=9943.2823, Test RMSE=106.6447
Epoch 16: TrainLoss=11556.5164, TestLoss=9596.4625, Test RMSE=104.9645
Epoch 17: TrainLoss=10784.7373, TestLoss=9006.7921, Test RMSE=102.0661
Epoch 18: TrainLoss=9952.8084, TestLoss=8475.6233, Test RMSE=99.2206
Epoch 19: TrainLoss=9104.8942, TestLoss=7851.3607, Test RMSE=95.7220
Epoch 20: TrainLoss=8241.0022, TestLoss=7223.4194, Test RMSE=91.9446
Epoch 21: TrainLoss=7479.3352, TestLoss=6699.3443, Test RMSE=88.4763
Epoch 22: TrainLoss=6815.8790, TestLoss=6383.5969, Test RMSE=86.0075
Epoch 23: TrainLoss=6374.5334, TestLoss=6208.4964, Test RMSE=84.3544
Epoch 24: TrainLoss=6093.6973, TestLoss=6135.9240, Test RMSE=83.4013
Epoch 25: TrainLoss=5960.6286, TestLoss=6130.7358, Test RMSE=83.0172
Epoch 26: TrainLoss=5830.3010, TestLoss=6185.8599, Test RMSE=83.0665
Epoch 27: TrainLoss=5786.0298, TestLoss=6128.3760, Test RMSE=82.6307
Epoch 28: TrainLoss=5714.9615, TestLoss=6082.8075, Test RMSE=82.3416
Epoch 29: TrainLoss=5648.3742, TestLoss=6104.0054, Test RMSE=82.4184
Epoch 30: TrainLoss=5576.5573, TestLoss=6005.2633, Test RMSE=81.7869
Epoch 31: TrainLoss=5533.9416, TestLoss=5970.4535, Test RMSE=81.5355
Epoch 32: TrainLoss=5482.6990, TestLoss=5976.3355, Test RMSE=81.6610
Epoch 33: TrainLoss=5409.1086, TestLoss=5906.6785, Test RMSE=81.2210
Epoch 34: TrainLoss=5339.4543, TestLoss=5824.4247, Test RMSE=80.8001
Epoch 35: TrainLoss=5341.4328, TestLoss=5799.4602, Test RMSE=80.6238
Epoch 36: TrainLoss=5210.3161, TestLoss=5715.2065, Test RMSE=80.0573
Epoch 37: TrainLoss=5170.3257, TestLoss=5651.0885, Test RMSE=79.6033
Epoch 38: TrainLoss=5096.1576, TestLoss=5689.6870, Test RMSE=79.8428
Epoch 39: TrainLoss=5036.1689, TestLoss=5571.1663, Test RMSE=79.1371
Epoch 40: TrainLoss=5018.2004, TestLoss=5799.2686, Test RMSE=80.3793
Epoch 41: TrainLoss=4961.4104, TestLoss=5565.7990, Test RMSE=79.0701
Epoch 42: TrainLoss=4916.5587, TestLoss=5614.0754, Test RMSE=79.2481
Epoch 43: TrainLoss=4926.9078, TestLoss=5713.2234, Test RMSE=79.7944
Epoch 44: TrainLoss=4807.3283, TestLoss=5482.9339, Test RMSE=78.4434
Epoch 45: TrainLoss=4817.7552, TestLoss=5479.1311, Test RMSE=78.3552
Epoch 46: TrainLoss=4741.7709, TestLoss=5257.7708, Test RMSE=77.0760
Epoch 47: TrainLoss=4724.9340, TestLoss=5216.7917, Test RMSE=76.7010
Epoch 48: TrainLoss=4627.4430, TestLoss=5416.4806, Test RMSE=77.9111
Epoch 49: TrainLoss=4657.6696, TestLoss=5294.6125, Test RMSE=77.1162
Epoch 50: TrainLoss=4629.1041, TestLoss=5156.3174, Test RMSE=76.3523
Trial 3/3: FinalEpochScore=76.3523, BestEpochScore=67.0366

==== FINAL SUMMARY ====
Test RMSE over 3 trials (final epoch): Mean=164.8016, Std=155.0036
Test RMSE over 3 trials (best epoch): Mean=41.3895, Std=18.1353
